ds,y,crude_lag_2m,crude_lag_3m,natural_gas_price,all_commodity_ppi,housing_lag_3m,manufacturing_pmi,dollar_index,crude_ma_3m,crude_vol_6m,crude_x_housing,crude_x_commodity,gas_x_crude,resin_rsi,is_covid,is_post_covid_surge,is_construction_season,is_2026_shock
2000-01-01,133.2,27.26,27.26,2.42,128.3,1636.0,17284.0,100.00000454545456,28.82333333333333,2.115892246783849,48.04932,35.65608,0.6596920000000001,64.04109589041099,0,0,0,0
2000-02-01,135.7,27.26,27.26,2.66,129.8,1636.0,17284.0,100.00000454545456,28.82333333333333,2.115892246783849,48.04932,35.65608,0.781242,64.04109589041099,0,0,0,0
2000-03-01,139.4,27.26,27.26,2.79,130.8,1636.0,17302.0,100.00000454545456,28.82333333333333,2.115892246783849,48.04932,35.65608,0.832536,64.04109589041099,0,0,1,0
2000-04-01,143.7,29.37,27.26,3.04,130.7,1636.0,17299.0,100.00000454545456,28.31,2.115892246783849,48.04932,38.38659,0.781888,64.04109589041099,0,0,1,0
2000-05-01,147.4,29.84,29.37,3.59,131.6,1737.0,17278.0,100.00000454545456,28.116666666666664,2.115892246783849,51.832080000000005,39.26944,1.033561,64.04109589041099,0,0,1,0
2000-06-01,147.8,25.72,29.84,4.29,133.8,1604.0,17295.0,100.00000454545456,28.776666666666667,2.115892246783849,41.25488,34.413360000000004,1.365078,64.04109589041099,0,0,1,0
2000-07-01,146.4,28.79,25.72,3.99,133.7,1626.0,17322.0,100.00000454545456,30.10333333333333,1.9915387685572867,46.81254,38.49222999999999,1.18503,64.04109589041099,0,0,1,0
2000-08-01,146.3,31.82,28.79,4.43,132.9,1575.0,17287.0,100.00000454545456,30.926666666666662,2.164499172249016,50.1165,42.28878,1.384818,64.04109589041099,0,0,1,0
2000-09-01,142.4,29.7,31.82,5.06,134.7,1559.0,17229.0,100.00000454545456,31.613333333333333,2.814205038727636,46.3023,40.0059,1.714328,64.04109589041099,0,0,0,0
2000-10-01,140.7,31.26,29.7,5.02,135.4,1463.0,17217.0,100.00000454545456,32.75000000000001,1.947733725812304,45.73338,42.326040000000006,1.662122,64.04109589041099,0,0,0,0
2000-11-01,138.8,33.88,31.26,5.52,135.0,1541.0,17202.0,100.00000454545456,33.803333333333335,1.7716404827165164,52.20908,45.738,1.899984,64.04109589041099,0,0,0,0
2000-12-01,137.3,33.11,33.88,8.9,136.2,1507.0,17181.0,100.00000454545456,31.99,2.4040833318890344,49.89677,45.09582,2.5311600000000003,64.04109589041099,0,0,0,0
2001-01-01,137.8,34.42,33.11,8.17,140.0,1549.0,17105.0,100.00000454545456,30.816666666666663,2.42365564110636,53.31658,48.188,2.417503,64.04109589041099,0,0,0,0
2001-02-01,139.3,28.44,34.42,5.61,137.4,1551.0,17030.0,100.00000454545456,29.21333333333333,2.583264730271886,44.11044,39.07656,1.661121,64.04109589041099,0,0,0,0
2001-03-01,141.4,29.59,28.44,5.23,135.9,1532.0,16938.0,100.00000454545456,28.816666666666663,2.7766430571225165,45.33188,40.21281,1.425175,64.04109589041099,0,0,1,0
2001-04-01,141.9,29.61,29.59,5.19,136.4,1600.0,16802.0,100.00000454545456,28.116666666666664,2.6247336372795385,47.376,40.38804,1.426731,61.39705882352944,0,0,1,0
2001-05-01,139.9,27.25,29.61,4.19,136.8,1625.0,16660.0,100.00000454545456,27.790000000000003,1.002325629058076,44.28125,37.278,1.199597,50.98039215686275,0,0,1,0
2001-06-01,137.6,27.49,27.25,3.72,135.5,1590.0,16513.0,100.00000454545456,27.906666666666663,1.069100868331266,43.7091,37.24895,1.02672,37.02127659574471,0,0,1,0
2001-07-01,135.1,28.63,27.49,3.11,133.4,1649.0,16381.0,100.00000454545456,27.55333333333333,1.1201026738652118,47.21086999999999,38.19242,0.821973,22.421524663677133,0,0,1,0
2001-08-01,131.3,27.6,28.63,2.97,133.4,1605.0,16233.0,100.00000454545456,27.133333333333336,0.7074578903840579,44.298,36.8184,0.8128890000000001,17.898832684824896,0,0,1,0
2001-09-01,126.8,26.43,27.6,2.19,133.3,1636.0,16116.0,100.00000454545456,26.666666666666668,0.8792875904200295,43.23947999999999,35.23119,0.57378,15.972222222222214,0,0,0,0
2001-10-01,128.3,27.37,26.43,2.46,130.3,1670.0,15973.0,100.00000454545456,25.24666666666667,2.2488930610413624,45.7079,35.66311,0.545382,20.19867549668875,0,0,0,0
2001-11-01,126.6,26.2,27.37,2.34,129.8,1567.0,15825.0,100.00000454545456,22.67,3.24167497856689,41.0554,34.007600000000004,0.459576,21.78571428571429,0,0,0,0
2001-12-01,123.9,22.17,26.2,2.3,128.1,1562.0,15712.0,100.00000454545456,20.4,3.589031438517449,34.62954,28.399770000000004,0.44597,21.03448275862073,0,0,0,0
2002-01-01,122.0,19.64,22.17,2.32,128.5,1540.0,15588.0,100.00000454545456,19.58333333333333,3.551127989808302,30.245600000000003,25.2374,0.4575039999999999,21.034482758620697,0,0,0,0
2002-02-01,121.3,19.39,19.64,2.32,128.4,1602.0,15518.0,100.00000454545456,19.94333333333333,2.607801117161085,31.062780000000004,24.896760000000004,0.4807039999999999,21.63120567375887,0,0,0,0
2002-03-01,123.1,19.72,19.39,3.03,129.8,1568.0,15443.0,100.00000454545456,21.656666666666663,1.99917399609604,30.92096,25.59656,0.743259,25.08474576271186,0,0,1,0
2002-04-01,125.4,20.72,19.72,3.43,130.8,1698.0,15392.0,100.00000454545456,23.81,2.916838471130448,35.182559999999995,27.10176,0.8979739999999999,27.06270627062709,0,0,1,0
2002-05-01,128.0,24.53,20.72,3.5,130.8,1829.0,15338.0,100.00000454545456,25.916666666666668,3.3980700404788524,44.865370000000006,32.085240000000006,0.9464,28.246753246753272,0,0,1,0
2002-06-01,130.1,26.18,24.53,3.26,130.9,1642.0,15297.0,100.00000454545456,26.246666666666663,3.0215255528733542,42.98756,34.26962,0.831952,31.790123456790127,0,0,1,0
2002-07-01,135.3,27.04,26.18,2.99,131.2,1592.0,15256.0,100.00000454545456,26.51,2.3702742457361285,43.04768,35.476479999999995,0.806403,43.53932584269665,0,0,1,0
2002-08-01,136.4,25.52,27.04,3.09,131.5,1764.0,15171.0,100.00000454545456,26.96,1.3420494278031083,45.01728,33.5588,0.877251,48.25581395348839,0,0,1,0
2002-09-01,136.7,26.97,25.52,3.55,132.3,1717.0,15119.0,100.00000454545456,28.340000000000003,1.5070987581000332,46.30749,35.68131,1.05293,52.48447204968943,0,0,0,0
2002-10-01,138.2,28.39,26.97,4.13,133.2,1655.0,15059.0,100.00000454545456,28.96333333333333,1.505332742840156,46.98545000000001,37.81548,1.191092,61.53846153846149,0,0,0,0
2002-11-01,137.0,29.66,28.39,4.04,133.1,1633.0,14992.0,100.00000454545456,28.28333333333333,1.593002406359345,48.43478,39.47746,1.06454,69.17293233082707,0,0,0,0
2002-12-01,135.3,28.84,29.66,4.74,132.9,1804.0,14911.0,100.00000454545456,28.21666666666667,1.3463642399687656,52.02736,38.32836,1.396404,63.05970149253732,0,0,0,0
2003-01-01,137.2,26.35,28.84,5.43,135.3,1648.0,14867.0,100.00000454545456,29.58666666666667,2.1548155373488505,43.424800000000005,35.65155000000001,1.789185,69.62962962962966,0,0,0,0
2003-02-01,141.8,29.46,26.35,7.71,137.6,1753.0,14780.0,100.00000454545456,32.74666666666667,3.351875594350127,51.64338000000001,40.53696,2.762493,80.96885813148792,0,0,0,0
2003-03-01,149.6,32.95,29.46,5.93,141.2,1788.0,14721.0,100.00000454545456,34.096666666666664,3.5197708258729983,58.91460000000001,46.5254,1.987143,89.65517241379314,0,0,1,0
2003-04-01,153.2,35.83,32.95,5.26,136.8,1853.0,14608.0,100.00000454545456,32.50333333333333,3.61724619012862,66.39299,49.01544,1.481742,92.30769230769236,0,0,1,0
2003-05-01,152.4,33.51,35.83,5.81,136.7,1629.0,14558.0,100.00000454545456,29.93,3.208653403947938,54.58778999999999,45.80816999999999,1.6331909999999998,89.91825613079028,0,0,1,0
2003-06-01,149.2,28.17,33.51,5.82,138.0,1726.0,14493.0,100.00000454545456,28.98,3.1038454643662106,48.62142000000001,38.8746,1.784412,81.64893617021279,0,0,1,0
2003-07-01,144.9,28.11,28.17,5.03,137.7,1643.0,14403.0,100.00000454545456,29.843333333333334,3.032587454083837,46.18473,38.70747,1.547228,71.5012722646311,0,0,1,0
2003-08-01,143.6,30.66,28.11,4.99,138.0,1751.0,14376.0,100.00000454545456,30.99666666666667,2.070320426085461,53.685660000000006,42.3108,1.575343,67.53246753246756,0,0,1,0
2003-09-01,144.9,30.76,30.66,4.62,138.5,1867.0,14346.0,100.00000454545456,30.21333333333333,1.5671077393295825,57.428920000000005,42.6026,1.307922,63.872832369942216,0,0,0,0
2003-10-01,146.2,31.57,30.76,4.63,139.3,1897.0,14334.0,100.00000454545456,30.07333333333333,1.4150253236838846,59.88829,43.97701,1.404742,64.08045977011494,0,0,0,0
2003-11-01,145.8,28.31,31.57,4.47,138.9,1833.0,14316.0,100.00000454545456,29.92,1.1332681353795722,51.89223,39.32259,1.390617,63.03724928366768,0,0,0,0
2003-12-01,144.0,30.34,28.31,6.13,139.5,1939.0,14299.0,100.00000454545456,31.19333333333333,1.3277901440614397,58.829260000000005,42.3243,1.969569,58.2386363636364,0,0,0,0
2004-01-01,146.2,31.11,30.34,6.14,141.4,1967.0,14291.0,100.00000454545456,32.51666666666667,1.9859279946664852,61.19337,43.98954,2.106634,62.707182320442,0,0,0,0
2004-02-01,150.4,32.13,31.11,5.37,142.1,2083.0,14279.0,100.00000454545456,33.71,2.430948374606104,66.92679000000001,45.65673,1.862853,69.50904392764859,0,0,0,0
2004-03-01,151.4,34.31,32.13,5.39,143.1,2057.0,14287.0,100.00000454545456,35.24666666666667,2.436144494893537,70.57567,49.09761,1.980286,68.78306878306881,0,0,1,0
2004-04-01,154.8,34.69,34.31,5.71,144.8,1911.0,14315.0,100.00000454545456,36.06,2.323466519377193,66.29258999999999,50.23112,2.098425,67.75956284153007,0,0,1,0
2004-05-01,156.5,36.74,34.69,6.33,146.8,1846.0,14342.0,100.00000454545456,37.92333333333334,2.784813578440537,67.82204,53.93432000000001,2.5497240000000003,61.31147540983609,0,0,1,0
